Mod:Item:MetaData, Localized Name
forestry:leaves.decorative.2:2, White Poplar Leaves
forestry:tree_chest:0, Arborist's Chest
forestry:habitat_former:0, Habitat Former
forestry:habitat_screen, Habitat Screen
forestry:charcoal:0, Block of Charcoal
forestry:wood_pile:0, Wood Pile
forestry:wood_pile_decorative:0, Decorative Wood Pile
forestry:ash_block_0:0, Ash Block
forestry:ash_block_1:0, Ash Block
forestry:ash_block_2:0, Ash Block
forestry:ash_block_3:0, Ash Block
forestry:loam:0, Loam
forestry:butterfly_ge:0, Brimstone Moth Butterfly
forestry:butterfly_ge:0, Latticed Heath Butterfly
forestry:butterfly_ge:0, Cabbage White Butterfly
forestry:butterfly_ge:0, Brimstone Butterfly
forestry:butterfly_ge:0, Orange Tip Butterfly
forestry:butterfly_ge:0, Common Clouded Yellow Butterfly
forestry:butterfly_ge:0, Palaeno Sulphur Butterfly
forestry:butterfly_ge:0, Eastern Bath White Butterfly
forestry:butterfly_ge:0, Holly Blue Butterfly
forestry:butterfly_ge:0, Citrus Swallowtail Butterfly
forestry:butterfly_ge:0, Spicebush Swallowtail Butterfly
forestry:butterfly_ge:0, Black Swallowtail Butterfly
forestry:butterfly_ge:0, Zebra Swallowtail Butterfly
forestry:butterfly_ge:0, Speckled Wood Butterfly
forestry:butterfly_ge:0, Madeiran Speckled Wood Butterfly
forestry:butterfly_ge:0, Canary Speckled Wood Butterfly
forestry:butterfly_ge:0, Menelaus Blue Morpho Butterfly
forestry:butterfly_ge:0, Peleides Blue Morpho Butterfly
forestry:butterfly_ge:0, Comma Butterfly
forestry:butterfly_ge:0, Painted Beauty Butterfly
forestry:butterfly_ge:0, Blue Wing Butterfly
forestry:butterfly_ge:0, Blue Duke Butterfly
forestry:butterfly_ge:0, Glassy Tiger Butterfly
forestry:butterfly_ge:0, Postman Butterfly
forestry:butterfly_ge:0, Malachite Butterfly
forestry:butterfly_ge:0, Leopard Lacewing Butterfly
forestry:butterfly_ge:0, Diana Fritillary Butterfly
forestry:serum_ge:0, Brimstone Moth Serum
forestry:serum_ge:0, Latticed Heath Serum
forestry:serum_ge:0, Cabbage White Serum
forestry:serum_ge:0, Brimstone Serum
forestry:serum_ge:0, Orange Tip Serum
forestry:serum_ge:0, Common Clouded Yellow Serum
forestry:serum_ge:0, Palaeno Sulphur Serum
forestry:serum_ge:0, Eastern Bath White Serum
forestry:serum_ge:0, Holly Blue Serum
forestry:serum_ge:0, Citrus Swallowtail Serum
forestry:serum_ge:0, Spicebush Swallowtail Serum
forestry:serum_ge:0, Black Swallowtail Serum
forestry:serum_ge:0, Zebra Swallowtail Serum
forestry:serum_ge:0, Speckled Wood Serum
forestry:serum_ge:0, Madeiran Speckled Wood Serum
forestry:serum_ge:0, Canary Speckled Wood Serum
forestry:serum_ge:0, Menelaus Blue Morpho Serum
forestry:serum_ge:0, Peleides Blue Morpho Serum
forestry:serum_ge:0, Comma Serum
forestry:serum_ge:0, Painted Beauty Serum
forestry:serum_ge:0, Blue Wing Serum
forestry:serum_ge:0, Blue Duke Serum
forestry:serum_ge:0, Glassy Tiger Serum
forestry:serum_ge:0, Postman Serum
forestry:serum_ge:0, Malachite Serum
forestry:serum_ge:0, Leopard Lacewing Serum
forestry:serum_ge:0, Diana Fritillary Serum
forestry:caterpillar_ge:0, Brimstone Moth Caterpillar
forestry:caterpillar_ge:0, Latticed Heath Caterpillar
forestry:caterpillar_ge:0, Cabbage White Caterpillar
forestry:caterpillar_ge:0, Brimstone Caterpillar
forestry:caterpillar_ge:0, Orange Tip Caterpillar
forestry:caterpillar_ge:0, Common Clouded Yellow Caterpillar
forestry:caterpillar_ge:0, Palaeno Sulphur Caterpillar
forestry:caterpillar_ge:0, Eastern Bath White Caterpillar
forestry:caterpillar_ge:0, Holly Blue Caterpillar
forestry:caterpillar_ge:0, Citrus Swallowtail Caterpillar
forestry:caterpillar_ge:0, Spicebush Swallowtail Caterpillar
forestry:caterpillar_ge:0, Black Swallowtail Caterpillar
forestry:caterpillar_ge:0, Zebra Swallowtail Caterpillar
forestry:caterpillar_ge:0, Speckled Wood Caterpillar
forestry:caterpillar_ge:0, Madeiran Speckled Wood Caterpillar
forestry:caterpillar_ge:0, Canary Speckled Wood Caterpillar
forestry:caterpillar_ge:0, Menelaus Blue Morpho Caterpillar
forestry:caterpillar_ge:0, Peleides Blue Morpho Caterpillar
forestry:caterpillar_ge:0, Comma Caterpillar
forestry:caterpillar_ge:0, Painted Beauty Caterpillar
forestry:caterpillar_ge:0, Blue Wing Caterpillar
forestry:caterpillar_ge:0, Blue Duke Caterpillar
forestry:caterpillar_ge:0, Glassy Tiger Caterpillar
forestry:caterpillar_ge:0, Postman Caterpillar
forestry:caterpillar_ge:0, Malachite Caterpillar
forestry:caterpillar_ge:0, Leopard Lacewing Caterpillar
forestry:caterpillar_ge:0, Diana Fritillary Caterpillar
forestry:cocoon_ge:0, Brimstone Moth Cocoon
forestry:cocoon_ge:0, Latticed Heath Cocoon
forestry:cocoon_ge:0, Cabbage White Cocoon
forestry:cocoon_ge:0, Brimstone Cocoon
forestry:cocoon_ge:0, Orange Tip Cocoon
forestry:cocoon_ge:0, Common Clouded Yellow Cocoon
forestry:cocoon_ge:0, Palaeno Sulphur Cocoon
forestry:cocoon_ge:0, Eastern Bath White Cocoon
forestry:cocoon_ge:0, Holly Blue Cocoon
forestry:cocoon_ge:0, Citrus Swallowtail Cocoon
forestry:cocoon_ge:0, Spicebush Swallowtail Cocoon
forestry:cocoon_ge:0, Black Swallowtail Cocoon
forestry:cocoon_ge:0, Zebra Swallowtail Cocoon
forestry:cocoon_ge:0, Speckled Wood Cocoon
forestry:cocoon_ge:0, Madeiran Speckled Wood Cocoon
forestry:cocoon_ge:0, Canary Speckled Wood Cocoon
forestry:cocoon_ge:0, Menelaus Blue Morpho Cocoon
forestry:cocoon_ge:0, Peleides Blue Morpho Cocoon
forestry:cocoon_ge:0, Comma Cocoon
forestry:cocoon_ge:0, Painted Beauty Cocoon
forestry:cocoon_ge:0, Blue Wing Cocoon
forestry:cocoon_ge:0, Blue Duke Cocoon
forestry:cocoon_ge:0, Glassy Tiger Cocoon
forestry:cocoon_ge:0, Postman Cocoon
forestry:cocoon_ge:0, Malachite Cocoon
forestry:cocoon_ge:0, Leopard Lacewing Cocoon
forestry:cocoon_ge:0, Diana Fritillary Cocoon
forestry:cocoon_ge:0, Brimstone Moth Cocoon
forestry:cocoon_ge:0, Latticed Heath Cocoon
forestry:cocoon_ge:0, Cabbage White Cocoon
forestry:cocoon_ge:0, Brimstone Cocoon
forestry:cocoon_ge:0, Orange Tip Cocoon
forestry:cocoon_ge:0, Common Clouded Yellow Cocoon
forestry:cocoon_ge:0, Palaeno Sulphur Cocoon
forestry:cocoon_ge:0, Eastern Bath White Cocoon
forestry:cocoon_ge:0, Holly Blue Cocoon
forestry:cocoon_ge:0, Citrus Swallowtail Cocoon
forestry:cocoon_ge:0, Spicebush Swallowtail Cocoon
forestry:cocoon_ge:0, Black Swallowtail Cocoon
forestry:cocoon_ge:0, Zebra Swallowtail Cocoon
forestry:cocoon_ge:0, Speckled Wood Cocoon
forestry:cocoon_ge:0, Madeiran Speckled Wood Cocoon
forestry:cocoon_ge:0, Canary Speckled Wood Cocoon
forestry:cocoon_ge:0, Menelaus Blue Morpho Cocoon
forestry:cocoon_ge:0, Peleides Blue Morpho Cocoon
forestry:cocoon_ge:0, Comma Cocoon
forestry:cocoon_ge:0, Painted Beauty Cocoon
forestry:cocoon_ge:0, Blue Wing Cocoon
forestry:cocoon_ge:0, Blue Duke Cocoon
forestry:cocoon_ge:0, Glassy Tiger Cocoon
forestry:cocoon_ge:0, Postman Cocoon
forestry:cocoon_ge:0, Malachite Cocoon
forestry:cocoon_ge:0, Leopard Lacewing Cocoon
forestry:cocoon_ge:0, Diana Fritillary Cocoon
forestry:cocoon_ge:0, Brimstone Moth Cocoon
forestry:cocoon_ge:0, Latticed Heath Cocoon
forestry:cocoon_ge:0, Cabbage White Cocoon
forestry:cocoon_ge:0, Brimstone Cocoon
forestry:cocoon_ge:0, Orange Tip Cocoon
forestry:cocoon_ge:0, Common Clouded Yellow Cocoon
forestry:cocoon_ge:0, Palaeno Sulphur Cocoon
forestry:cocoon_ge:0, Eastern Bath White Cocoon
forestry:cocoon_ge:0, Holly Blue Cocoon
forestry:cocoon_ge:0, Citrus Swallowtail Cocoon
forestry:cocoon_ge:0, Spicebush Swallowtail Cocoon
forestry:cocoon_ge:0, Black Swallowtail Cocoon
forestry:cocoon_ge:0, Zebra Swallowtail Cocoon
forestry:cocoon_ge:0, Speckled Wood Cocoon
forestry:cocoon_ge:0, Madeiran Speckled Wood Cocoon
forestry:cocoon_ge:0, Canary Speckled Wood Cocoon
forestry:cocoon_ge:0, Menelaus Blue Morpho Cocoon
forestry:cocoon_ge:0, Peleides Blue Morpho Cocoon
forestry:cocoon_ge:0, Comma Cocoon
forestry:cocoon_ge:0, Painted Beauty Cocoon
forestry:cocoon_ge:0, Blue Wing Cocoon
forestry:cocoon_ge:0, Blue Duke Cocoon
forestry:cocoon_ge:0, Glassy Tiger Cocoon
forestry:cocoon_ge:0, Postman Cocoon
forestry:cocoon_ge:0, Malachite Cocoon
forestry:cocoon_ge:0, Leopard Lacewing Cocoon
forestry:cocoon_ge:0, Diana Fritillary Cocoon
forestry:butterfly_chest:0, Lepidopterist's Chest
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
forestry:database:0, Database
forestry:bee_queen_ge:0, Forest Queen
forestry:bee_queen_ge:0, Meadows Queen
forestry:bee_queen_ge:0, Common Queen
forestry:bee_queen_ge:0, Cultivated Queen
forestry:bee_queen_ge:0, Noble Queen
forestry:bee_queen_ge:0, Majestic Queen
forestry:bee_queen_ge:0, Imperial Queen
forestry:bee_queen_ge:0, Diligent Queen
forestry:bee_queen_ge:0, Unweary Queen
forestry:bee_queen_ge:0, Industrious Queen
forestry:bee_queen_ge:0, Steadfast Queen
forestry:bee_queen_ge:0, Valiant Queen
forestry:bee_queen_ge:0, Heroic Queen
forestry:bee_queen_ge:0, Sinister Queen
forestry:bee_queen_ge:0, Fiendish Queen
forestry:bee_queen_ge:0, Demonic Queen
forestry:bee_queen_ge:0, Modest Queen
forestry:bee_queen_ge:0, Frugal Queen
forestry:bee_queen_ge:0, Austere Queen
forestry:bee_queen_ge:0, Tropical Queen
forestry:bee_queen_ge:0, Exotic Queen
forestry:bee_queen_ge:0, Edenic Queen
forestry:bee_queen_ge:0, Ender Queen
forestry:bee_queen_ge:0, Spectral Queen
forestry:bee_queen_ge:0, Phantasmal Queen
forestry:bee_queen_ge:0, Wintry Queen
forestry:bee_queen_ge:0, Icy Queen
forestry:bee_queen_ge:0, Glacial Queen
forestry:bee_queen_ge:0, Vindictive Queen
forestry:bee_queen_ge:0, Vengeful Queen
forestry:bee_queen_ge:0, Avenging Queen
forestry:bee_queen_ge:0, Rural Queen
forestry:bee_queen_ge:0, Farmerly Queen
forestry:bee_queen_ge:0, Agrarian Queen
forestry:bee_queen_ge:0, Marshy Queen
forestry:bee_queen_ge:0, Miry Queen
forestry:bee_queen_ge:0, Boggy Queen
forestry:bee_queen_ge:0, Monastic Queen
forestry:bee_queen_ge:0, Secluded Queen
forestry:bee_queen_ge:0, Hermitic Queen
forestry:bee_drone_ge:0, Forest Drone
forestry:bee_drone_ge:0, Meadows Drone
forestry:bee_drone_ge:0, Common Drone
forestry:bee_drone_ge:0, Cultivated Drone
forestry:bee_drone_ge:0, Noble Drone
forestry:bee_drone_ge:0, Majestic Drone
forestry:bee_drone_ge:0, Imperial Drone
forestry:bee_drone_ge:0, Diligent Drone
forestry:bee_drone_ge:0, Unweary Drone
forestry:bee_drone_ge:0, Industrious Drone
forestry:bee_drone_ge:0, Steadfast Drone
forestry:bee_drone_ge:0, Valiant Drone
forestry:bee_drone_ge:0, Heroic Drone
forestry:bee_drone_ge:0, Sinister Drone
forestry:bee_drone_ge:0, Fiendish Drone
forestry:bee_drone_ge:0, Demonic Drone
forestry:bee_drone_ge:0, Modest Drone
forestry:bee_drone_ge:0, Frugal Drone
forestry:bee_drone_ge:0, Austere Drone
forestry:bee_drone_ge:0, Tropical Drone
forestry:bee_drone_ge:0, Exotic Drone
forestry:bee_drone_ge:0, Edenic Drone
forestry:bee_drone_ge:0, Ender Drone
forestry:bee_drone_ge:0, Spectral Drone
forestry:bee_drone_ge:0, Phantasmal Drone
forestry:bee_drone_ge:0, Wintry Drone
forestry:bee_drone_ge:0, Icy Drone
forestry:bee_drone_ge:0, Glacial Drone
forestry:bee_drone_ge:0, Vindictive Drone
forestry:bee_drone_ge:0, Vengeful Drone
forestry:bee_drone_ge:0, Avenging Drone
forestry:bee_drone_ge:0, Rural Drone
forestry:bee_drone_ge:0, Farmerly Drone
forestry:bee_drone_ge:0, Agrarian Drone
forestry:bee_drone_ge:0, Marshy Drone
forestry:bee_drone_ge:0, Miry Drone
forestry:bee_drone_ge:0, Boggy Drone
forestry:bee_drone_ge:0, Monastic Drone
forestry:bee_drone_ge:0, Secluded Drone
forestry:bee_drone_ge:0, Hermitic Drone
forestry:bee_princess_ge:0, Forest Princess
forestry:bee_princess_ge:0, Meadows Princess
forestry:bee_princess_ge:0, Common Princess
forestry:bee_princess_ge:0, Cultivated Princess
forestry:bee_princess_ge:0, Noble Princess
forestry:bee_princess_ge:0, Majestic Princess
forestry:bee_princess_ge:0, Imperial Princess
forestry:bee_princess_ge:0, Diligent Princess
forestry:bee_princess_ge:0, Unweary Princess
forestry:bee_princess_ge:0, Industrious Princess
forestry:bee_princess_ge:0, Steadfast Princess
forestry:bee_princess_ge:0, Valiant Princess
forestry:bee_princess_ge:0, Heroic Princess
forestry:bee_princess_ge:0, Sinister Princess
forestry:bee_princess_ge:0, Fiendish Princess
forestry:bee_princess_ge:0, Demonic Princess
forestry:bee_princess_ge:0, Modest Princess
forestry:bee_princess_ge:0, Frugal Princess
forestry:bee_princess_ge:0, Austere Princess
forestry:bee_princess_ge:0, Tropical Princess
forestry:bee_princess_ge:0, Exotic Princess
forestry:bee_princess_ge:0, Edenic Princess
forestry:bee_princess_ge:0, Ender Princess
forestry:bee_princess_ge:0, Spectral Princess
forestry:bee_princess_ge:0, Phantasmal Princess
forestry:bee_princess_ge:0, Wintry Princess
forestry:bee_princess_ge:0, Icy Princess
forestry:bee_princess_ge:0, Glacial Princess
forestry:bee_princess_ge:0, Vindictive Princess
forestry:bee_princess_ge:0, Vengeful Princess
forestry:bee_princess_ge:0, Avenging Princess
forestry:bee_princess_ge:0, Rural Princess
forestry:bee_princess_ge:0, Farmerly Princess
forestry:bee_princess_ge:0, Agrarian Princess
forestry:bee_princess_ge:0, Marshy Princess
forestry:bee_princess_ge:0, Miry Princess
forestry:bee_princess_ge:0, Boggy Princess
forestry:bee_princess_ge:0, Monastic Princess
forestry:bee_princess_ge:0, Secluded Princess
forestry:bee_princess_ge:0, Hermitic Princess
forestry:bee_larvae_ge:0, Forest Larvae
forestry:bee_larvae_ge:0, Meadows Larvae
forestry:bee_larvae_ge:0, Common Larvae
forestry:bee_larvae_ge:0, Cultivated Larvae
forestry:bee_larvae_ge:0, Noble Larvae
forestry:bee_larvae_ge:0, Majestic Larvae
forestry:bee_larvae_ge:0, Imperial Larvae
forestry:bee_larvae_ge:0, Diligent Larvae
forestry:bee_larvae_ge:0, Unweary Larvae
forestry:bee_larvae_ge:0, Industrious Larvae
forestry:bee_larvae_ge:0, Steadfast Larvae
forestry:bee_larvae_ge:0, Valiant Larvae
forestry:bee_larvae_ge:0, Heroic Larvae
forestry:bee_larvae_ge:0, Sinister Larvae
forestry:bee_larvae_ge:0, Fiendish Larvae
forestry:bee_larvae_ge:0, Demonic Larvae
forestry:bee_larvae_ge:0, Modest Larvae
forestry:bee_larvae_ge:0, Frugal Larvae
forestry:bee_larvae_ge:0, Austere Larvae
forestry:bee_larvae_ge:0, Tropical Larvae
forestry:bee_larvae_ge:0, Exotic Larvae
forestry:bee_larvae_ge:0, Edenic Larvae
forestry:bee_larvae_ge:0, Ender Larvae
forestry:bee_larvae_ge:0, Spectral Larvae
forestry:bee_larvae_ge:0, Phantasmal Larvae
forestry:bee_larvae_ge:0, Wintry Larvae
forestry:bee_larvae_ge:0, Icy Larvae
forestry:bee_larvae_ge:0, Glacial Larvae
forestry:bee_larvae_ge:0, Vindictive Larvae
forestry:bee_larvae_ge:0, Vengeful Larvae
forestry:bee_larvae_ge:0, Avenging Larvae
forestry:bee_larvae_ge:0, Rural Larvae
forestry:bee_larvae_ge:0, Farmerly Larvae
forestry:bee_larvae_ge:0, Agrarian Larvae
forestry:bee_larvae_ge:0, Marshy Larvae
forestry:bee_larvae_ge:0, Miry Larvae
forestry:bee_larvae_ge:0, Boggy Larvae
forestry:bee_larvae_ge:0, Monastic Larvae
forestry:bee_larvae_ge:0, Secluded Larvae
forestry:bee_larvae_ge:0, Hermitic Larvae
forestry:habitat_locator, Habitat Locator
forestry:imprinter, Imprinter
forestry:cart.beehouse:0, Minecart with Bee House
forestry:cart.beehouse:1, Minecart with Apiary
forestry:frame_untreated, Untreated Frame
forestry:frame_impregnated, Impregnated Frame
forestry:frame_proven, Proven Frame
forestry:honey_drop:0, Honey Drop
forestry:pollen:0, Pollen Cluster
forestry:pollen:1, Crystalline Pollen Cluster
forestry:propolis:0, Propolis
forestry:propolis:1, Sticky Propolis
forestry:propolis:3, Silky Propolis
forestry:honeydew, Honeydew
forestry:royal_jelly, Royal Jelly
forestry:wax_cast, Wax Cast
forestry:bee_combs:0, Honey Comb
forestry:bee_combs:2, Simmering Comb
forestry:bee_combs:3, Stringy Comb
forestry:bee_combs:4, Frozen Comb
forestry:bee_combs:5, Dripping Comb
forestry:bee_combs:6, Silky Comb
forestry:bee_combs:7, Parched Comb
forestry:bee_combs:15, Mossy Comb
forestry:bee_combs:16, Mellow Comb
forestry:apiarist_helmet, Apiarist's Hat
forestry:apiarist_chest, Apiarist's Shirt
forestry:apiarist_legs, Apiarist's Pants
forestry:apiarist_boots, Apiarist's Shoes
forestry:scoop, Scoop
forestry:smoker, Bee Smoker
forestry:apiary:0, Apiary
forestry:bee_house:0, Bee House
forestry:bee_chest:0, Apiarist's Chest
forestry:beehives:0, Forest Hive
forestry:beehives:1, Meadows Hive
forestry:beehives:2, Modest Hive
forestry:beehives:3, Tropical Hive
forestry:beehives:4, Ender Hive
forestry:beehives:5, Wintry Hive
forestry:beehives:6, Marshy Hive
forestry:candle:0, Unlit Candle
forestry:stump:0, Candle Stump
forestry:bee_combs_0:0, Honey Comb Block
forestry:bee_combs_0:2, Simmering Comb Block
forestry:bee_combs_0:3, Stringy Comb Block
forestry:bee_combs_0:4, Frozen Comb Block
forestry:bee_combs_0:5, Dripping Comb Block
forestry:bee_combs_0:6, Silky Comb Block
forestry:bee_combs_0:7, Parched Comb Block
forestry:bee_combs_0:15, Mossy Comb Block
forestry:bee_combs_1:0, Mellow Comb Block
forestry:alveary.plain:0, Alveary
forestry:alveary.swarmer:0, Alveary Swarmer
forestry:alveary.fan:0, Alveary Fan
forestry:alveary.heater:0, Alveary Heater
forestry:alveary.hygro:0, Alveary Hygroregulator
forestry:alveary.stabiliser:0, Alveary Stabiliser
forestry:alveary.sieve:0, Alveary Sieve
forestry:crate, Crate
forestry:honeyed_slice, Honeyed Slice
forestry:ambrosia, Ambrosia
forestry:honey_pot, Honey Pot
forestry:fluid.bio.ethanol, Ethanol
forestry:fluid.biomass, Biomass
forestry:fluid.glass, Liquid Glass
forestry:fluid.for.honey, Honey
forestry:fluid.ice, Crushed Ice
forestry:fluid.juice, Fruit Juice
forestry:fluid.milk, Milk
forestry:fluid.seed.oil, Seed Oil
forestry:fluid.short.mead, Short Mead
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:apiarist_bag, Apiarist's Backpack
forestry:lepidopterist_bag, Lepidopterist's Backpack
forestry:miner_bag, Mining Backpack
forestry:miner_bag_t2, Woven Mining Backpack
forestry:digger_bag, Digging Backpack
forestry:digger_bag_t2, Woven Digging Backpack
forestry:forester_bag, Foresting Backpack
forestry:forester_bag_t2, Woven Foresting Backpack
forestry:hunter_bag, Hunting Backpack
forestry:hunter_bag_t2, Woven Hunting Backpack
forestry:adventurer_bag, Adventuring Backpack
forestry:adventurer_bag_t2, Woven Adventuring Backpack
forestry:builder_bag, Building Backpack
forestry:builder_bag_t2, Woven Building Backpack
forestry:mushroom:0, tile.for.mushroom.name
forestry:mushroom:1, tile.for.mushroom.name
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:arboretum:0, Arboretum (Managed)
forestry:arboretum:1, Arboretum (Manual)
forestry:farm_crops:0, Farm (Managed)
forestry:farm_crops:1, Farm (Manual)
forestry:farm_mushroom:0, Mushroom Farm (Managed)
forestry:farm_mushroom:1, Mushroom Farm (Manual)
forestry:farm_gourd:0, Gourd Farm (Managed)
forestry:farm_gourd:1, Gourd Farm (Manual)
forestry:farm_nether:0, Infernal Farm (Managed)
forestry:farm_nether:1, Infernal Farm (Manual)
forestry:farm_ender:0, Ender Farm (Managed)
forestry:farm_ender:1, Ender Farm (Manual)
forestry:peat_bog:0, Peat Bog (Managed)
forestry:peat_bog:1, Peat Bog (Manual)
railcraft:tool_crowbar_iron, Iron Crowbar
railcraft:tool_crowbar_steel, Steel Crowbar
railcraft:tool_axe_steel, Steel Axe
railcraft:tool_hoe_steel, Steel Hoe
railcraft:tool_pickaxe_steel, Steel Pickaxe
railcraft:tool_shears_steel, Steel Shears
railcraft:tool_shovel_steel, Steel Shovel
railcraft:tool_sword_steel, Steel Sword
railcraft:armor_helmet_steel, Steel Helmet
railcraft:armor_chestplate_steel, Steel Chestplate
railcraft:armor_leggings_steel, Steel Leggings
railcraft:armor_boots_steel, Steel Boots
railcraft:tool_magnifying_glass, Magnifying Glass
railcraft:armor_goggles, Trackman's Goggles
railcraft:armor_overalls, Engineer's Overalls
railcraft:tool_notepad, Trackman's Notepad
railcraft:rail:0, Standard Rail
railcraft:rail:1, Advanced Rail
railcraft:rail:2, Wooden Rail
railcraft:rail:3, H.S. Rail
railcraft:rail:4, Reinforced Rail
railcraft:rail:5, Electric Rail
railcraft:tie:0, Wooden Tie
railcraft:tie:1, Stone Tie
railcraft:rebar, Rebar
railcraft:cart_spawner:0, Spawner Cart
railcraft:detector:0, Cart Detector - Item
railcraft:detector:1, Cart Detector - Any
railcraft:detector:2, Cart Detector - Empty
railcraft:detector:3, Cart Detector - Mob
railcraft:detector:4, Cart Detector - Player
railcraft:detector:5, Cart Detector - Animal
railcraft:detector:6, Cart Detector - Tank
railcraft:detector:7, Cart Detector - Advanced
railcraft:detector:8, Cart Detector - Age
railcraft:detector:9, Cart Detector - Train
railcraft:detector:10, Cart Detector - Sheep
railcraft:detector:11, Cart Detector - Villager
railcraft:detector:12, Cart Detector - Locomotive
railcraft:detector:13, Cart Detector - Routing
railcraft:manipulator:0, Item Loader
railcraft:manipulator:1, Item Unloader
railcraft:manipulator:2, Adv. Item Loader
railcraft:manipulator:3, Adv. Item Unloader
railcraft:manipulator:4, Fluid Loader
railcraft:manipulator:5, Fluid Unloader
railcraft:manipulator:10, Redstone Flux Loader
railcraft:manipulator:11, Redstone Flux Unloader
railcraft:manipulator:8, Cart Dispenser
railcraft:manipulator:9, Train Dispenser
railcraft:equipment:0, Manual Rolling Machine
railcraft:equipment:1, Powered Rolling Machine
railcraft:equipment:2, Feed Station
railcraft:equipment:3, Smoker
railcraft:trade_station:0, Trade Station
railcraft:force_track_emitter, Force Track Emitter
railcraft:track_force, Force Track
railcraft:filter_blank, Blank Filter
railcraft:filter_type, Item Type Filter
railcraft:filter_ore_dict, Ore Dictionary Filter
railcraft:bore:0, Tunnel Bore
railcraft:borehead_bronze, Bronze Bore Head
railcraft:borehead_iron, Iron Bore Head
railcraft:borehead_steel, Steel Bore Head
railcraft:borehead_diamond, Diamond Bore Head
railcraft:mow_track_layer:0, Track Layer Cart
railcraft:mow_track_relayer:0, Track Relayer Cart
railcraft:mow_track_remover:0, Track Remover Cart
railcraft:mow_undercutter:0, Undercutter Cart
railcraft:cart_trade_station:0, Trade Station Cart
railcraft:cart_work:0, Work Cart
railcraft:cart_jukebox:0, Jukebox Cart
railcraft:cart_bed:0, Bed Cart
railcraft:battery_nickel_iron, Nickel-Iron Battery
railcraft:battery_nickel_zinc, Nickel-Zinc Battery
railcraft:battery_zinc_carbon, Zinc-Carbon Battery
railcraft:battery_zinc_silver, Zinc-Silver Battery
railcraft:charge_feeder:1, Admin Charge Feeder Unit
railcraft:charge_trap, Charge Trap
railcraft:frame, Wire Support Frame
railcraft:steam_turbine:0, Steam Turbine Housing
railcraft:wire, Charge Shunting Wire
railcraft:charge:0, Charge Coil
railcraft:charge:1, Charge Terminal
railcraft:charge:2, Small Charge Wire Spool
railcraft:charge:3, Medium Charge Wire Spool
railcraft:charge:4, Large Charge Wire Spool
railcraft:charge:5, Charge Motor
railcraft:charge:6, Nickel Electrode
railcraft:charge:7, Iron Electrode
railcraft:charge:8, Zinc Electrode
railcraft:charge:9, Silver Electrode
railcraft:charge:10, Carbon Electrode
railcraft:tool_charge_meter, Charge Meter
railcraft:turbine_blade, Turbine Blade
railcraft:turbine_disk, Turbine Disk
railcraft:turbine_rotor, Turbine Rotor
railcraft:worldspike:0, Admin Worldspike
railcraft:worldspike:1, Passive Worldspike
railcraft:worldspike:2, Personal Worldspike
railcraft:worldspike:3, Standard Worldspike
railcraft:worldspike_point, Worldspike Point
railcraft:cart_worldspike_standard:0, Standard Worldspike Cart
railcraft:cart_worldspike_admin:0, Admin Worldspike Cart
railcraft:cart_worldspike_personal:0, Personal Worldspike Cart
railcraft:emblem, Emblem
